Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
5.320 -253.47 -226.78 -214.60 -267.60
5.324 -272.51 -246.16 -232.82 -283.67
5.328 -261.43 -234.54 -222.00 -273.34
5.332 -241.89 -214.44 -202.78 -256.24
5.336 -233.22 -206.26 -194.39 -248.57
5.340 -254.68 -227.52 -214.96 -267.68
5.344 -273.47 -246.32 -233.55 -284.87
5.349 -259.28 -232.32 -219.47 -271.73
5.353 -242.36 -215.29 -203.27 -257.02
5.357 -234.29 -207.45 -195.56 -249.71
5.361 -250.25 -223.65 -210.91 -263.44
5.365 -272.18 -245.58 -232.44 -283.44
5.369 -261.11 -234.27 -221.71 -274.01
5.373 -240.04 -212.99 -201.21 -254.79
5.377 -234.22 -207.02 -194.71 -248.98
5.381 -254.14 -227.25 -214.58 -267.04
5.385 -271.64 -245.11 -232.15 -283.11
5.389 -261.90 -235.10 -222.40 -274.30
5.393 -241.24 -214.38 -202.04 -255.79
5.397 -233.58 -206.87 -194.64 -249.13
5.401 -253.07 -226.67 -213.73 -267.01
5.405 -274.41 -247.81 -234.47 -286.39
5.409 -260.08 -232.97 -220.08 -272.27
5.413 -241.96 -215.07 -203.00 -256.64
5.417 -232.64 -205.75 -193.72 -247.52
5.421 -253.16 -226.47 -213.82 -266.86
5.425 -272.09 -245.67 -232.15 -283.35
5.430 -262.05 -234.94 -222.24 -274.05
5.434 -241.42 -213.95 -202.48 -255.86
5.438 -271.55 -244.68 -232.03 -284.07
5.458 -244.71 -217.77 -205.77 -259.77
5.478 -223.94 -197.30 -184.87 -239.30
5.498 -249.13 -222.87 -209.86 -262.03
5.518 -275.71 -248.60 -236.17 -287.06
5.538 -268.91 -241.56 -229.87 -282.06
5.559 -249.24 -222.11 -209.44 -263.01
5.579 -234.07 -207.11 -194.37 -248.64
5.599 -249.24 -222.09 -209.37 -262.34
5.619 -273.74 -246.47 -233.87 -285.19
5.639 -262.32 -234.96 -222.49 -274.50
5.659 -241.60 -214.62 -202.55 -256.26
5.680 -244.42 -217.37 -205.52 -259.93
5.700 -262.45 -235.74 -222.62 -275.46
5.720 -275.40 -248.62 -235.48 -286.73
5.740 -253.96 -227.25 -214.62 -266.95
5.760 -241.64 -215.02 -202.71 -256.37
5.780 -237.93 -211.25 -199.13 -253.11
5.800 -262.68 -235.77 -223.79 -276.25
5.821 -290.73 -263.88 -251.30 -302.40
5.841 -275.24 -248.35 -236.01 -288.36
5.861 -240.75 -214.09 -201.88 -255.73
5.881 -233.71 -207.49 -195.15 -249.47
5.901 -258.21 -231.92 -218.76 -271.33
5.921 -273.34 -246.56 -233.37 -284.63
5.942 -271.93 -244.60 -232.61 -284.96
5.962 -260.22 -232.91 -221.71 -275.13
5.982 -243.28 -216.57 -204.67 -258.86
6.002 -254.01 -226.96 -214.71 -267.66
6.022 -270.52 -243.99 -230.47 -281.83
