Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
4.116 86257.93 75977.13 78187.16 92057.05 84771.70 65199.32 46675.96 50393.10 58849.77 58483.72 3699.03 644.65 113.32 1856.33
4.124 86269.26 75989.09 78200.22 92070.70 84786.27 65214.39 46692.62 50410.63 58861.96 58497.15 3712.40 658.37 127.94 1871.65
4.132 86253.19 75972.84 78184.39 92054.92 84769.55 65197.36 46676.14 50393.71 58860.08 58496.04 3711.35 657.25 127.45 1871.33
4.141 86256.28 75975.43 78187.05 92056.60 84771.20 65198.79 46677.10 50395.03 58850.27 58486.42 3701.02 646.57 116.81 1861.45
4.149 86267.52 75986.72 78198.70 92067.82 84782.16 65209.25 46688.37 50405.15 58858.60 58494.54 3708.71 653.65 123.81 1867.62
4.157 86252.68 75970.74 78182.47 92050.68 84764.05 65191.14 46669.28 50386.31 58855.00 58491.65 3705.25 650.84 121.86 1867.22
4.166 86253.59 75971.90 78183.76 92052.13 84765.66 65193.51 46672.03 50388.34 58841.39 58477.73 3690.32 634.41 104.52 1848.27
4.174 86279.72 75997.88 78210.05 92078.55 84792.68 65220.76 46700.19 50417.27 58861.24 58498.40 3711.28 655.04 126.73 1871.11
4.182 86243.36 75961.26 78174.11 92042.47 84757.32 65185.58 46666.51 50384.30 58860.15 58498.02 3710.21 654.73 126.98 1871.91
4.191 86248.41 75966.70 78178.80 92046.20 84760.18 65188.28 46668.12 50384.18 58842.67 58480.37 3692.26 635.57 107.40 1851.39
4.199 86279.72 75997.88 78210.05 92078.55 84792.68 65220.76 46700.19 50417.27 58861.24 58498.40 3711.28 655.04 126.73 1871.11
4.207 86243.36 75961.26 78174.11 92042.47 84757.32 65185.58 46666.51 50384.30 58860.15 58498.02 3710.21 654.73 126.98 1871.91
4.216 86248.41 75966.70 78178.80 92046.20 84760.18 65188.28 46668.12 50384.18 58842.67 58480.37 3692.26 635.57 107.40 1851.39
4.224 86250.04 75967.68 78180.39 92047.55 84761.91 65190.38 46671.07 50388.23 58841.75 58479.90 3691.61 634.92 107.89 1852.33
4.232 86265.86 75984.40 78196.77 92063.86 84777.84 65205.81 46685.78 50401.91 58861.71 58500.24 3710.75 653.97 126.53 1871.22
4.240 86257.57 75975.99 78188.70 92055.59 84769.55 65197.60 46678.15 50393.91 58846.76 58485.49 3695.86 638.72 111.67 1856.80
4.249 86254.15 75971.68 78184.03 92049.87 84762.40 65189.78 46669.84 50384.92 58842.04 58479.67 3688.17 629.76 102.01 1846.08
4.257 86261.19 75979.32 78193.47 92060.33 84775.18 65203.84 46687.16 50404.46 58860.28 58500.82 3712.07 654.62 129.95 1875.69
4.265 86270.09 75988.18 78200.71 92067.04 84780.08 65206.92 46688.32 50403.92 58863.03 58502.45 3711.48 653.41 127.87 1872.29
4.274 86242.26 75960.64 78173.48 92039.86 84753.52 65180.17 46662.24 50378.06 58852.59 58491.74 3699.48 640.65 114.64 1859.08
